ProvinceName,ProvinceID,ProvinceCode,DistrictName,DistrictCode,DistrictID,WardName,Code,WardCode
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Phước Hưng,6,520206
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Phước Hiệp,5,520205
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Phước Nguyên,7,520207
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Long Toàn,4,520204
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Long Tâm,3,520203
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Phước Trung,8,520208
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Long Hương,2,520202
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Phường Kim Dinh,1,520201
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Xã Tân Hưng,11,520211
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Xã Long Phước,10,520210
Bà Rịa – Vũng Tàu,206,,Thành phố Bà Rịa,5202,1667,Xã Hoà Long,9,520209
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Bàu Chinh,2,520702
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Thị trấn Ngãi Giao,1,520701
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Bình Ba,3,520703
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Suối Nghệ,13,520713
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Xuân Sơn,16,520716
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Sơn Bình,12,520712
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Bình Giã,4,520704
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Bình Trung,5,520705
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Xà Bang,15,520715
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Cù Bị,6,520706
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Láng Lớn,9,520709
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Quảng Thành,11,520711
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Kim Long,8,520708
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Suối Rao,14,520714
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Đá Bạc,7,520707
Bà Rịa – Vũng Tàu,206,,Huyện Châu Đức,5207,1709,Xã Nghĩa Thành,10,520710
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Thị trấn Phước Bửu,1,520301
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Phước Thuận,11,520311
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Phước Tân,10,520310
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Xuyên Mộc,13,520313
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Bông Trang,4,520304
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Tân Lâm,12,520312
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Bàu Lâm,2,520302
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Hòa Bình,6,520306
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Hòa Hưng,9,520309
